image_id,class,bbox,width,height,area
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(135, 522, 245, 600)",110,78,8580
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1025, 284, 1125, 384)",100,100,10000
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1058, 1503, 1130, 1568)",72,65,4680
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(813, 1518, 885, 1604)",72,86,6192
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(594, 938, 657, 1012)",63,74,4662
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(451, 725, 524, 798)",73,73,5329
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1543, 1437, 1614, 1497)",71,60,4260
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1485, 1370, 1561, 1437)",76,67,5092
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1968, 1624, 2053, 1687)",85,63,5355
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1659, 1674, 1733, 1746)",74,72,5328
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1865, 2091, 1951, 2165)",86,74,6364
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(2052, 1772, 2135, 1834)",83,62,5146
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(2146, 2031, 2225, 2102)",79,71,5609
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1006, 2345, 1088, 2412)",82,67,5494
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1931, 2163, 2009, 2247)",78,84,6552
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(1231, 1532, 1295, 1607)",64,75,4800
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(740, 1268, 804, 1356)",64,88,5632
4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,Airplane,"(645, 1399, 730, 1458)",85,59,5015
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(607, 1752, 718, 1867)",111,115,12765
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(906, 2024, 1022, 2140)",116,116,13456
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(1105, 1568, 1151, 1640)",46,72,3312
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(1169, 1546, 1218, 1614)",49,68,3332
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(1243, 1521, 1287, 1588)",44,67,2948
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(1503, 1404, 1565, 1474)",62,70,4340
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(1633, 1341, 1697, 1418)",64,77,4928
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(2322, 1163, 2381, 1237)",59,74,4366
74d335db-bf64-424a-88d7-5c24625c50b1.jpg,Airplane,"(1953, 1305, 2016, 1359)",63,54,3402
